Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Музеи, памятники и заповедники",Сербия,2014,49.30218,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Словакия,2015,75.0,standart,standart,standart
"Музеи, памятники и заповедники",Словения,2016,43.87283,standart,standart,standart
"Музеи, памятники и заповедники",Словения,2015,43.88503,standart,standart,standart
"Музеи, памятники и заповедники",Словения,2014,44.90006,standart,standart,standart
"Музеи, памятники и заповедники",Таиланд,2015,66.23582,standart,standart,standart
"Музеи, памятники и заповедники",Таиланд,2014,69.2783,standart,standart,standart
"Музеи, памятники и заповедники",Того,2015,27.72676,standart,standart,standart
"Музеи, памятники и заповедники",Турция,2015,19.52907,standart,standart,standart
"Музеи, памятники и заповедники",Турция,2014,18.26329,standart,standart,standart
"Музеи, памятники и заповедники",Уганда,2012,100.0,standart,standart,standart
"Музеи, памятники и заповедники",Уругвай,2013,54.16534,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Финляндия,2015,54.86906,standart,standart,standart
"Музеи, памятники и заповедники",Финляндия,2014,61.84211,standart,standart,standart
"Музеи, памятники и заповедники",Франция,2015,50.0235,standart,standart,standart
"Музеи, памятники и заповедники",Франция,2014,64.61626,standart,standart,standart
"Музеи, памятники и заповедники",Чехия,2015,47.11369,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Чили,2016,49.456,standart,standart,standart
"Музеи, памятники и заповедники",Чили,2013,44.64617,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Швейцария,2014,44.9109,Qualifier,Data quality,"Low reliability, use with caution"
"Музеи, памятники и заповедники",Швеция,2015,51.47059,standart,standart,standart
"Музеи, памятники и заповедники",Швеция,2014,56.09756,standart,standart,standart
"Музеи, памятники и заповедники",Эквадор,2015,18.93695,standart,standart,standart
"Музеи, памятники и заповедники",Эквадор,2013,32.13609,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Музеи, памятники и заповедники",Эстония,2015,71.97411,standart,standart,standart
"Музеи, памятники и заповедники",ЮАР,2014,41.62704,standart,standart,standart
"Музеи, памятники и заповедники",Южная Корея,2015,44.44444,standart,standart,standart
"Музеи, памятники и заповедники",Южная Корея,2014,46.15385,standart,standart,standart
