Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Живопись, скульптура и рукоделие",Эквадор,2013,51.28504,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Живопись, скульптура и рукоделие",Эстония,2015,25.59824,standart,standart,standart
"Живопись, скульптура и рукоделие",Эстония,2014,31.0294,standart,standart,standart
"Живопись, скульптура и рукоделие",ЮАР,2014,47.89618,standart,standart,standart
"Живопись, скульптура и рукоделие",Южная Корея,2015,24.25936,Over Coverage,Classification,Includes other occupation(s)
"Живопись, скульптура и рукоделие",Южная Корея,2014,23.42758,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Австрия,2015,12.86195,standart,standart,standart
Издательское дело и библиотеки,Австрия,2014,12.74648,standart,standart,standart
Издательское дело и библиотеки,Бельгия,2015,19.33668,standart,standart,standart
Издательское дело и библиотеки,Бельгия,2014,20.25657,standart,standart,standart
Издательское дело и библиотеки,Болгария,2015,11.04294,standart,standart,standart
Издательское дело и библиотеки,Болгария,2014,11.24402,standart,standart,standart
Издательское дело и библиотеки,Боливия,2011,8.49892,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Бразилия,2013,4.1021,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Бруней,2014,4.46046,standart,standart,standart
Издательское дело и библиотеки,Венгрия,2015,17.45768,standart,standart,standart
Издательское дело и библиотеки,Венгрия,2014,16.15242,standart,standart,standart
Издательское дело и библиотеки,Вьетнам,2015,2.62368,standart,standart,standart
Издательское дело и библиотеки,Гана,2014,1.31404,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Гондурас,2015,2.6088,standart,standart,standart
Издательское дело и библиотеки,Гондурас,2010,5.2165,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Доминикана,2013,7.34175,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Израиль,2014,16.02677,standart,standart,standart
Издательское дело и библиотеки,Кабо-Верде,2015,9.25564,standart,standart,standart
Издательское дело и библиотеки,Каймановы острова,2016,17.06806,standart,standart,standart
Издательское дело и библиотеки,Канада,2015,14.72154,standart,standart,standart
Издательское дело и библиотеки,Кипр,2015,18.00293,standart,standart,standart
Издательское дело и библиотеки,Коста-Рика,2015,0.61171,standart,standart,standart
Издательское дело и библиотеки,Латвия,2015,10.52632,standart,standart,standart
