indicatorId,geoUnit,year,value,qualifier,magnitude
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HND,2015,0.17242,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HUN,2014,5.10016,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HUN,2015,8.09113,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ISL,2015,0,,NA
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ISR,2014,4.74626,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,KOR,2014,1.78881,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,KOR,2015,1.62102,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LKA,2015,1.25773,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LTU,2014,3.50292,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LTU,2015,4.74534,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LUX,2014,7.42118,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LUX,2015,2.99191,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LVA,2014,3.06748,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,LVA,2015,4.84211,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,MEX,2014,7.25064,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,MEX,2015,6.98331,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,MLI,2015,2.19328,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,MLT,2014,1.9681,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,MYS,2014,2.7003,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,MYS,2015,1.72075,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,NLD,2014,7.20721,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,NLD,2015,7.55287,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PAK,2014,1.26739,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PAK,2015,0.64969,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PAN,2013,4.48032,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PAN,2016,4.33404,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PER,2013,11.94705,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PRI,2014,9.36576,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PRI,2015,0.77894,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,PRY,2010,4.42,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ROU,2014,2.20842,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ROU,2015,2.66286,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,RUS,2014,3.00187,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SLV,2013,2.4547,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SRB,2014,10.23927,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SRB,2015,8.7193,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SVK,2014,4.0349,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SVK,2015,2.38365,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SVN,2014,3.46843,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SVN,2015,3.69356,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SVN,2016,3.68637,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SWE,2014,7.47583,,
